,antecedents,consequents,support,antecedent support,consequent support,confidence,lift,leverage,conviction,certainty,adjusted_support,adjusted_antecedent_support,adjusted_consequent_support,adjusted_confidence,adjusted_lift,adjusted_leverage,adjusted_conviction,adjusted_certainty
0,frozenset({'ayam goreng'}),frozenset({'nasi putih'}),0.002681590299638568,0.004780226186312231,0.00018726314545889117,0.5609756097560975,14.319904181184667,0.0026806951394469144,2.2773512339464546,0.5607883466106386,0.0030467611604185984,0.005431182938137501,0.04027023446814148,0.5609756097560976,13.930279204107832,0.002828046150060432,2.1860511326003444,0.5207053752879561
1,frozenset({'nasi putih'}),frozenset({'mie'}),0.025183630640083946,0.039174536551241694,0.007686923751397897,0.6428571428571429,3.2761650114591294,0.0248824989646182,2.7784766134960863,0.635170219105745,0.02549274164994689,0.03965537589991738,0.19697863802667295,0.6428571428571429,3.2635881194898575,0.017681479714745416,2.248459813525316,0.44587850483047
2,frozenset({'nasi goreng'}),frozenset({'teh'}),0.01142590649411216,0.022502040340445378,0.0067975733382411065,0.5077720207253886,1.6808802090936543,0.011272947224637923,2.0177691404812577,0.5009744473871475,0.011666666666666667,0.022976190476190476,0.30142857142857143,0.5077720207253886,1.684551727524986,0.004740986394557823,1.4192030075187971,0.2063434492968172
3,frozenset({'soto ayam'}),frozenset({'teh'}),0.010259997668182348,0.011542497376705142,0.0034868381372324844,0.8888888888888888,2.942493245851023,0.010219750848130347,8.968618456764904,0.8854020507516563,0.170873786407767,0.19223300970873786,0.4524271844660194,0.8888888888888888,1.964711492608488,0.08390234706381373,4.928155339805823,0.4364617044228694
4,"frozenset({'air putih', 'nasi putih'})",frozenset({'mie'}),0.001049317943336831,0.0018654541214876998,0.00036604398816180464,0.5625,2.866644385026738,0.0010486351050704688,2.2848776137413447,0.5621339560118382,0.0010621975687477871,0.0018883512333293993,0.19697863802667295,0.5625,2.855639604553625,0.0006902327146905739,1.835477398796176,0.3655213619733271
5,"frozenset({'teh', 'ayam goreng'})",frozenset({'nasi putih'}),0.001049317943336831,0.0015156814737087559,5.937611929184353e-05,0.6923076923076924,17.672390109890113,0.0010492279480528398,3.2498070276123023,0.6922483161884005,0.0011922108888594515,0.0017220823950192079,0.04027023446814148,0.6923076923076923,17.19154858299595,0.0011228622270385694,3.11912173797854,0.6520374578395508
6,"frozenset({'kerupuk', 'cireng isi'})",frozenset({'gorengan'}),0.0013990905911157748,0.0027981811822315496,0.000709903492192591,0.5,1.9708180147058822,0.001397104152522721,1.9985801930156148,0.4992900965078074,0.0014273819436184131,0.0028547638872368263,0.25276555251576066,0.5,1.9781176470588235,0.0007057959723589561,1.4944688949684788,0.24723444748423934
7,"frozenset({'sayur harian', 'cireng isi'})",frozenset({'gorengan'}),0.002564999417045587,0.005013407951498193,0.0012719104235117253,0.5116279069767442,2.0166509917920656,0.00255862281121476,2.045014659609,0.5103559965532325,0.0026054002842254855,0.005092373282804358,0.2528422548555187,0.5116279069767442,2.023506344970318,0.0013178331408352315,1.529894430533938,0.2587856521212255
8,"frozenset({'nasi putih', 'cireng isi'})",frozenset({'mie'}),0.002564999417045587,0.003497726477789437,0.0006863324778033838,0.7333333333333333,3.737254901960784,0.002562598813765407,3.7474262532082365,0.7326470008555299,0.002615000594318317,0.0035659099013431593,0.19446095328658028,0.7333333333333333,3.7711083944580275,0.0019215703555690708,3.0207714251753233,0.538872380046753
9,"frozenset({'mie', 'cireng isi'})",frozenset({'teh'}),0.013641133263378805,0.021919085927480472,0.006621470402017243,0.6223404255319149,2.0601365610911753,0.013495996684670719,2.6303544164002925,0.6157189551298977,0.013870776526378185,0.02228808535862478,0.3016004742145821,0.6223404255319149,2.063459704937776,0.007148679412881868,1.849283251375473,0.32073995131733285
10,"frozenset({'nasi goreng', 'cireng isi'})",frozenset({'teh'}),0.0016322723563017372,0.00279818118223155,0.0008452940938745418,0.5833333333333333,1.9310111925897335,0.001629907070274806,2.3979712941747007,0.5824880392394587,0.0016700465227245617,0.0028629368960992486,0.3016819754264583,0.5833333333333334,1.933603532357981,0.0008063500643880474,1.6759632589765001,0.28165135790687507
11,"frozenset({'nasi putih', 'cireng isi'})",frozenset({'teh'}),0.0022152267692666433,0.003497726477789437,0.0010566176173431772,0.6333333333333333,2.096526437668854,0.002211531009849563,2.7243910428617912,0.6322767157159901,0.002258409604184001,0.0035659099013431593,0.3015571139902532,0.6333333333333333,2.100210222047037,0.0011830841055856893,1.9048442345720367,0.3317762193430801
12,"frozenset({'sosis goreng', 'cireng isi'})",frozenset({'teh'}),0.002098635886673662,0.004080680890754343,0.0012327205535670402,0.5142857142857142,1.702442520813806,0.002093605547467081,2.0562855753308913,0.5130529937321472,0.0021309340594293834,0.004143482893334912,0.30129039895821,0.5142857142857142,1.7069435868650011,0.0008825424454199896,1.438519766850744,0.2129953153275042
13,"frozenset({'kerupuk', 'es jeruk'})",frozenset({'penyetan'}),0.002448408534452606,0.004197271773347324,0.0008417054273239359,0.5833333333333334,2.9088662790697675,0.002444875668021026,2.3979799069744225,0.5824916279060094,0.00246449947189297,0.004224856237530807,0.20044595704729493,0.5833333333333334,2.9101775956284155,0.0016176441199738743,1.9189297030864922,0.3828873762860384
14,"frozenset({'es jeruk', 'nasi putih'})",frozenset({'mie'}),0.0016322723563017372,0.0022152267692666433,0.000434677235942143,0.736842105263158,3.7551365043625107,0.0016313094476526873,3.7983482265034207,0.7364074280272158,0.0016523073291632244,0.002242417089578662,0.19697863802667295,0.7368421052631579,3.740720885497146,0.0012105990649702838,3.0514811754986426,0.5398634672364849
15,"frozenset({'es jeruk', 'nasi goreng'})",frozenset({'penyetan'}),0.0012824997085227935,0.002331817651859625,0.0004676141262910755,0.5499999999999999,2.742645348837209,0.0012814093176488491,2.221183079719353,0.5495323858737089,0.0013095238095238095,0.002380952380952381,0.19988095238095238,0.55,2.7516378796902923,0.0008336167800453514,1.7780423280423283,0.35011904761904766
16,"frozenset({'float', 'nasi putih'})",frozenset({'mie'}),0.0031479538300104933,0.0033811355951964554,0.0006634547285432709,0.9310344827586208,4.744790706251153,0.003145710599612014,14.490379906436141,0.9303710280300775,0.0038178733031674207,0.004100678733031674,0.18707579185520362,0.9310344827586207,4.976776917663617,0.003050735582041727,11.787401018099542,0.743958690903417
17,"frozenset({'french fries', 'nasi putih'})",frozenset({'mie'}),0.0013990905911157748,0.0015156814737087559,0.00029741074038146627,0.9230769230769231,4.704236939531057,0.0013986398111664965,12.99613366037505,0.9227795123365417,0.0014162634249970496,0.001534285377080137,0.19697863802667295,0.9230769230769231,4.686177812600821,0.0011140419810755637,10.439277705653259,0.7260982850502502
18,"frozenset({'french fries', 'mie'})",frozenset({'teh'}),0.004197271773347324,0.007694998251136762,0.0023245587581549897,0.5454545454545454,1.8056208554085822,0.004179384297768657,2.194885970732059,0.5431299866963905,0.004213483146067416,0.007724719101123595,0.3018492509363296,0.5454545454545454,1.8070428989389826,0.0018817824716997012,1.5359316479400749,0.24360529451821583
19,"frozenset({'french fries', 'penyetan'})",frozenset({'teh'}),0.004780226186312231,0.008161361781508687,0.00246544110713408,0.5857142857142857,1.938892870926835,0.004760104829485906,2.4078420387069177,0.5832488446071517,0.004788041574214644,0.00817470512670793,0.30211374518276307,0.5857142857142857,1.9387210779170578,0.002318350792620178,1.6845530288691926,0.28360054053152267
